21.04.2015 12:23:09 [WARNING] No Rumblers found
21.04.2015 12:23:29 [INFO] Connect to: 141.24.108.235
21.04.2015 12:23:29 [INFO] Sent: Change resolution to 0.
21.04.2015 12:23:29 [INFO] Resolution settings were sent
21.04.2015 12:24:26 [INFO] Sound signal was sent
21.04.2015 12:24:30 [INFO] Sound signal was sent
21.04.2015 12:27:41 [INFO] Sound signal was sent
21.04.2015 12:28:30 [INFO] Sound signal was sent
21.04.2015 12:28:31 [INFO] Sound signal was sent
21.04.2015 12:28:38 [INFO] Sound signal was sent
21.04.2015 12:31:08 [INFO] Sound signal was sent
21.04.2015 12:31:09 [INFO] Sound signal was sent
21.04.2015 12:31:18 [INFO] Sound signal was sent
21.04.2015 12:31:19 [INFO] Sound signal was sent
21.04.2015 12:34:13 [INFO] CarDuinoDroid closed.
